T35,Net disbursements of official development assistance from donors,,,,,
56,Belgium,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.79,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
56,Belgium,2019,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.81,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
56,Belgium,2020,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.85,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
100,Bulgaria,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),40,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
100,Bulgaria,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),41,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
100,Bulgaria,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),65,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
100,Bulgaria,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),86,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
100,Bulgaria,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),91,Estimate.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
124,Canada,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),880,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
124,Canada,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,631",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
124,Canada,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,067",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
124,Canada,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,756",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
124,Canada,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"5,214",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
124,Canada,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,277",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
124,Canada,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,535",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
124,Canada,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,871",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
124,Canada,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"6,226",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
124,Canada,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.25,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
124,Canada,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.51,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
124,Canada,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.04,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
124,Canada,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.20,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
124,Canada,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.46,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
124,Canada,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.24,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
124,Canada,2019,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.27,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
124,Canada,2020,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.17,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
191,Croatia,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),51,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
191,Croatia,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),73,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
191,Croatia,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),77,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
191,Croatia,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),94,Estimate.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
196,Cyprus,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),15,Data refer to government-controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
196,Cyprus,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),51,Data refer to government-controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
196,Cyprus,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),18,Data refer to government-controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
196,Cyprus,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),20,Data refer to government-controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
196,Cyprus,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),15,Data refer to government-controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
203,Czechia,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),135,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
203,Czechia,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),228,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
203,Czechia,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),199,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
203,Czechia,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),309,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
203,Czechia,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),299,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
203,Czechia,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),362,Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
203,Czechia,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.11,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
203,Czechia,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.13,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
203,Czechia,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.16,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
203,Czechia,2019,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.12,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
203,Czechia,2020,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.13,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
208,Denmark,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),205,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
208,Denmark,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),440,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
208,Denmark,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,623",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
208,Denmark,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,109",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
208,Denmark,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,871",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
208,Denmark,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,566",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
